char,alive,genre,genre2,genre3,tv,entertainer,musician,pubfig,fashion,internet,farout,histfict,reality,writer
RuPaul,1,Drag Queen,N/A,N/A,,,,,,,1,,1,
Kimora Lee,1,Model,Business,Reality,,,,,,,,,1,
Pink,1,Musician,N/A,N/A,,,1,,,,,,,
Carol Channing,0,Actor,Singer,Comedian,,1,,,,,,,,
Paris Hilton,1,Reality,Business,N/A,,,,,,,,,1,
Whitney Houston,0,Musician,Actor,N/A,,,1,,,,,,,
Lady Gaga,1,Musician,Actor,N/A,,,1,,,,,,,
Britney Spears,1,Musician,Dancer,N/A,,,1,,,,,,,
Beyoncé,1,Musician,Actor,N/A,,,1,,,,,,,
Alicia Keys,1,Musician,N/A,N/A,,,1,,,,,,,
Jennifer Lopez,1,Actor,Musician,N/A,,,1,,,,,,,
Cher,1,Musician,Actor,N/A,,,1,,,,,,,
Imelda Marcos,1,Government,N/A,N/A,,,,1,,,,,,
Joan Crawford,0,Actor,N/A,N/A,,1,,,,,,,,
Tyra Banks,1,Model,Reality,Business,,,,,1,,,,,
Tina Turner,1,Musician,N/A,N/A,,,1,,,,,,,
Mo'Nique,1,Comedian,Actor,N/A,,1,,,,,,,,
Amy Winehouse,1,Musician,N/A,N/A,,,1,,,,,,,
Wendy Williams,1,TV,N/A,N/A,1,,,,,,,,,
Snooki,1,Reality,N/A,N/A,,,,,,,,,1,
Aretha Franklin,1,Musician,N/A,N/A,,,1,,,,,,,
Diana Ross,1,Musician,Actor,N/A,,,1,,,,,,,
Michelle Visage,1,Reality,N/A,N/A,,,,,,,,,1,
Jessica Simpson,1,Musician,Reality,Fashion,,,1,,,,,,,
Lady Bunny,1,Drag Queen,N/A,N/A,,,,,,,1,,,
Katy Perry,1,Musician,Reality,N/A,,,1,,,,,,,
Janet Jackson,1,Musician,Actor,N/A,,,1,,,,,,,
Kesha,1,Musician,N/A,N/A,,,1,,,,,,,
Marilyn Monroe,0,Actor,Model,N/A,,1,,,,,,,,
Taylor Swift,1,Musician,N/A,N/A,,,1,,,,,,,
Little Edie,0,News Story,N/A,N/A,,,,1,,,,,,
Celia Cruz,0,Musician,N/A,N/A,,,1,,,,,,,
Tamar Braxton,1,Reality,Musician,N/A,,,,,,,,,1,
Anna Nicole Smith,0,Reality,Model,N/A,,,,,,,,,1,
Maggie Smith,1,Actor,N/A,N/A,,1,,,,,,,,
Judge Judy,1,Reality,N/A,N/A,1,,,,,,,,,
Fran Drescher,1,Actor,Comedian,N/A,,1,,,,,,,,
Paula Deen,1,Chef,TV,N/A,1,,,,,,,,,
Kim Kardashian,1,Reality,Model,Business,,,,,,,,,1,
Teresa Giudice,1,Reality,RH,N/A,,,,,,,,,1,
Rachel Zoe,1,Reality,Fashion,N/A,,,,,,,,,1,
Julia Child,0,Chef,TV,N/A,1,,,,,,,,,
Nicki Minaj,1,Musician,N/A,N/A,,,1,,,,,,,
Adele,1,Musician,N/A,N/A,,,1,,,,,,,
Raven-Symoné,1,Actor,N/A,N/A,,1,,,,,,,,
Little Richard,1,Musician,N/A,N/A,,,1,,,,,,,
Suze Orman,1,TV,Business,N/A,1,,,,,,,,,
Sharon Needles,1,Drag Queen,N/A,N/A,,,,,,,1,,,
Donatella Versace,1,Fashion,Business,N/A,,,,,1,,,,,
Big Ang,1,Reality,N/A,N/A,,,,,,,,,1,
Alyssa Edwards,1,Drag Queen,N/A,N/A,,,,,,,1,,,
Nancy Grace,1,TV,N/A,N/A,1,,,,,,,,,
Uzo Aduba,1,Actor,N/A,N/A,,1,,,,,,,,
Eartha Kitt,0,Actor,Singer,N/A,,1,,,,,,,,
Kimmy Jong-Un,1,Government,N/A,N/A,,,,1,,,,,,
Tiffany Pollard,1,Reality,N/A,N/A,,,,,,,,,1,
Diana Vreeland,0,Fashion,Writer,N/A,,,,,1,,,,,
Michael Jackson,0,Musician,N/A,N/A,,,1,,,,,,,
Liza Minnelli,1,Actor,Singer,N/A,,1,,,,,,,,
Sofia Vergara,1,Actor,TV,N/A,,1,,,,,,,,
Gigi Gorgeous,1,YouTuber,Reality,Makeup,,,,,,1,,,,
Jasmine Masters,1,Drag Queen,N/A,N/A,,,,,,,1,,,
NeNe Leakes,1,Reality,RH,N/A,,,,,,,,,1,
Marlene Dietrich,0,Actor,Singer,N/A,,1,,,,,,,,
Naomi Campbell,1,Model,N/A,N/A,,,,,1,,,,,
Amanda Lepore,1,Model,Performance Artist,N/A,,,,,,,1,,,
Ariadna Gutiérrez,1,Model,N/A,N/A,,,,,1,,,,,
Melania Trump,1,Government,Model,N/A,,,,1,,,,,,
Alana “Honey Boo Boo” Thompson,1,Reality,N/A,N/A,,,,,,,,,1,
Chyna,0,Actor,Wrestler,Porn Star,,1,,,,,,,,
Dorothy Parker,0,Writer,N/A,N/A,,,,,,,,,,1
Maya Angelou,1,Writer,N/A,N/A,,,,,,,,,,1
Maxine Waters,1,Government,N/A,N/A,,,,1,,,,,,
Blue Ivy Carter,1,Singer,N/A,N/A,,1,,,,,,,,
