uniqueid,regas,season,internat,episode,airdate,nickname,specialformat,numqueens,win1,win2,high1,high2,safe1,safe2,safe3,safe4,safe5,safe6,safe7,safe8,safe9,bottom1,bottom2,bottom3,bottom4,bottom5,bottom6,bottom7,eliminated1,eliminated2
0,reg,2,US,4,2010-02-22,The Snatch Game,0,9,Tatianna,N/A,Pandora Boxx,N/A,Raven,Tyra Sanchez,Jessica Wild,Sahara Davenport,Jujubee,N/A,N/A,N/A,N/A,Morgan McMichaels,N/A,N/A,N/A,N/A,N/A,N/A,Kylie Sonique Love,N/A
1,reg,3,US,6,2011-02-21,The Snatch Game,0,9,Stacey Layne Matthews,N/A,Raja,Alexis Mateo,Manila Luzon,Yara Sofia,Carmen Carrera,Shangela,N/A,N/A,N/A,N/A,N/A,Delta Work,N/A,N/A,N/A,N/A,N/A,N/A,Mariah,N/A
2,reg,4,US,5,2012-02-27,Snatch Game,0,9,Chad Michaels,N/A,Sharon Needles,Willam,Phi Phi O’Hara,Latrice Royale,DiDa Ritz,Jiggly Caliente,N/A,N/A,N/A,N/A,N/A,Milan,N/A,N/A,N/A,N/A,N/A,N/A,Kenya Michaels,N/A
3,reg,5,US,5,2013-02-25,Snatch Game,0,9,Jinkx Monsoon,N/A,Alaska,Roxxxy Andrews,Coco Montrese,Alyssa Edwards,Ivy Winters,Jade Jolie,N/A,N/A,N/A,N/A,N/A,Detox,N/A,N/A,N/A,N/A,N/A,N/A,Lineysha Sparx,N/A
4,reg,6,US,5,2014-03-24,Snatch Game,0,10,BenDeLaCreme,N/A,Bianca Del Rio,Adore Delano,Courtney Act,Darienne Lake,Joslyn Fox,Trinity K. Bonet,Milk,N/A,N/A,N/A,N/A,Laganja Estranja,N/A,N/A,N/A,N/A,N/A,N/A,Gia Gunn,N/A
5,reg,7,US,7,2015-04-13,Snatch Game,0,8,Ginger Minj,Kennedy Davenport,Katya,N/A,Pearl,Violet Chachki,Miss Fame,N/A,N/A,N/A,N/A,N/A,N/A,Jaidynn Diore Fierce,N/A,N/A,N/A,N/A,N/A,N/A,Max,N/A
6,reg,8,US,5,2016-04-04,Supermodel Snatch Game,0,8,Bob the Drag Queen,N/A,Derrick Barry,Thorgy Thor,Chi Chi DeVayne,Robbie Turner,Kim Chi,N/A,N/A,N/A,N/A,N/A,N/A,Naomi Smalls,N/A,N/A,N/A,N/A,N/A,N/A,Acid Betty,N/A
7,reg,9,US,6,2017-04-28,Snatch Game,0,10,Alexis Michelle,N/A,Sasha Velour,Nina Bo’nina Brown,Shea Couleé,Trinity the Tuck,Valentina,Farrah Moan,Aja,N/A,N/A,N/A,N/A,Peppermint,N/A,N/A,N/A,N/A,N/A,N/A,Cynthia Lee Fontaine,N/A
8,reg,10,US,7,2018-05-03,Snatch Game,0,8,Aquaria,N/A,Eureka,Monét X Change,Kameron Michaels,Asia O’Hara,Miz Cracker,N/A,N/A,N/A,N/A,N/A,N/A,The Vixen,N/A,N/A,N/A,N/A,N/A,N/A,Monique Heart,N/A
9,reg,11,US,8,2019-04-18,Snatch Game at Sea,0,8,Silky Nutmeg Ganache,N/A,Nina West,Shuga Cain,Vanessa Vanjie Mateo,Plastique Tiara,A’keria C. Davenport,N/A,N/A,N/A,N/A,N/A,N/A,Brooke Lynn Hytes,Yvie Oddly,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,reg,12,US,6,2020-04-03,Snatch Game,0,10,Gigi Goode,N/A,Sherry Pie,Jackie Cox,Crystal Methyd,Heidi N Closet,Widow Von’Du,Jan,Jaida Essence Hall,N/A,N/A,N/A,N/A,Brita,N/A,N/A,N/A,N/A,N/A,N/A,Aiden Zhane,N/A
11,reg,13,US,9,2021-03-05,The Snatch Game,0,9,Gottmik,N/A,Denali,Rosé,Kandy Muse,Olivia Lux,Tina Burner,Symone,N/A,N/A,N/A,N/A,N/A,Utica Queen,N/A,N/A,N/A,N/A,N/A,N/A,Elliott with 2 Ts,N/A
12,reg,14,US,10,2022-03-11,Snatch Game,0,8,DeJa Skye,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Angeria Paris VanMichaels,Bosco,Daya Betty,Jasmine Kennedie,Jorgeous,Lady Camden,Willow Pill,N/A,N/A
13,reg,15,US,4,2023-01-20,Supersized Snatch Game,1,14,Loosey LaDuca,N/A,Mistress Isabelle Brooks,Marcia Marcia Marcia,Anetra,Luxx Noir London,Salina EsTitties,Sasha Colby,Malaysia Babydoll Foxx,Jax,Aura Mayari,Robin Fierce,Amethyst,Spice,N/A,N/A,N/A,N/A,N/A,N/A,Sugar,N/A
14,as,1,US,2,2012-10-29,Ru Paul’s Gaff-In,1,10,Alexis Mateo,Yara Sofia,Chad Michaels,Shannel,Raven,Jujubee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Latrice Royale,Manila Luzon,N/A,N/A,N/A,N/A,N/A,Nina Flowers,Tammie Brown
15,as,2,US,2,2016-09-01,All Stars Snatch Game,0,8,Alaska,Katya,Phi Phi O’Hara,N/A,Alyssa Edwards,Ginger Minj,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Detox,Roxxxy Andrews,N/A,N/A,N/A,N/A,N/A,Tatianna,N/A
16,as,3,US,4,2018-02-15,All Stars Snatch Program,0,7,Shangela,BenDeLaCreme,Aja,N/A,BeBe Zahara Benet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trixie Mattel,Kennedy Davenport,N/A,N/A,N/A,N/A,N/A,Chi Chi DeVayne,N/A
17,as,4,US,3,2018-12-28,Snatch Game of Love,1,8,Manila Luzon,Trinity the Tuck,Naomi Smalls,N/A,Monique Heart,Monét X Change,Latrice Royale,N/A,N/A,N/A,N/A,N/A,N/A,Valentina,N/A,N/A,N/A,N/A,N/A,N/A,Gia Gunn,N/A
18,as,5,US,5,2020-07-03,Snatch Game of Love,1,6,Shea Couleé,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jujubee,Miz Cracker,Blair St. Clair,Alexis Mateo,N/A,N/A,N/A,India Ferrah,N/A
19,as,6,US,8,2021-08-05,Snatch Game of Love,1,6,Ginger Minj,N/A,Kylie Sonique Love,Eureka,Ra’Jah O’Hara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trinity K. Bonet,N/A,N/A,N/A,N/A,N/A,N/A,Pandora Boxx,N/A
20,as,7,US,2,2022-05-20,Snatch Game,1,8,Jinkx Monsoon,Trinity the Tuck,Monét X Change,Raja,Shea Couleé,Yvie Oddly,Jaida Essence Hall,The Vivienne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,as,8,US,5,2023-06-02,Snatch Game of Love,1,8,Jimbo,N/A,Alexis Michelle,Jaymes Mansfield,LaLa Ri,Kandy Muse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jessica Wild,Kahanna Montrese,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,reg,1,UK,4,2019-10-24,Snatch Game,0,7,The Vivienne,Baga Chipz,N/A,N/A,Cheryl Hole,Divina De Campo,Blu Hydrangea,N/A,N/A,N/A,N/A,N/A,N/A,Crystal,N/A,N/A,N/A,N/A,N/A,N/A,Sum Ting Wong,N/A
