"comedicent" "farout" "fashion" "histfict" "internet" "musician" "noncomedicent" "pubfig" "reality" "tv"
"farout" 0.106509490265079 NA NA NA NA NA NA NA NA NA
"fashion" 0.137783834845765 0.837084673759405 NA NA NA NA NA NA NA NA
"histfict" 0.964147229679013 0.293687052724554 0.272835973362024 NA NA NA NA NA NA NA
"internet" 0.0348135076225031 0.391848538643002 0.558594289637148 0.104570541950481 NA NA NA NA NA NA
"musician" 0.00059492218984765 0.314999957326175 0.582716358718075 0.0548314733063014 0.824921481562898 NA NA NA NA NA
"noncomedicent" 0.0294156303818086 0.45137506068476 0.642789513914158 0.112995144839787 0.872073807883133 0.976756134125746 NA NA NA NA
"pubfig" 0.283662143646852 0.962528921192638 0.834487781227298 0.411886746054007 0.453626982478571 0.453479985858339 0.518522202883749 NA NA NA
"reality" 0.167339030313862 0.710906937577028 0.606121341515322 0.411187338993928 0.237730943196352 0.107997836516618 0.26432091953378 0.825921316115449 NA NA
"tv" 6.32378581052629e-05 0.0500263148177703 0.161390416230395 0.00875175059910372 0.516131409407226 0.182276299176378 0.356817237482391 0.130154690232758 0.0114512044460171 NA
"writer" 0.289178720230619 0.877084327919398 1 0.379782811254733 0.636775199341371 0.695214792569854 0.715959465461895 0.864854320859002 0.705598475703319 0.295751541853823
